,trail_id,for_display,lat,lon,elevation,slope
0,976088670,True,44.0722915,-72.2536721,294.71,0.00
1,976088670,True,44.07236722,-72.25364648,293.43,-8.40
2,976088670,True,44.07244295,-72.25362085,293.16,-1.78
3,976088670,True,44.07251867,-72.25359522,292.80,-2.38
4,976088670,True,44.0725944,-72.2535696,291.57,-8.08
5,976088670,True,44.07267215,-72.2534813,288.21,-16.76
6,976088670,True,44.0727499,-72.253393,284.50,-18.39
7,976088670,True,44.07281027,-72.25332178,281.30,-19.98
8,976088670,True,44.07287065,-72.25325055,277.23,-24.82
9,976088670,True,44.07293103,-72.25317933,273.30,-24.06
10,976088670,True,44.0729914,-72.2531081,270.10,-19.98
11,976088670,True,44.07304258,-72.25300982,267.28,-16.22
12,976088670,True,44.07309375,-72.25291155,264.67,-15.07
13,976088670,True,44.07314492,-72.25281327,262.28,-13.85
14,976088670,True,44.0731961,-72.252715,259.71,-14.84
15,976088670,True,44.07326155,-72.252584,256.51,-14.09
16,976088670,True,44.073327,-72.252453,252.94,-15.65
17,976088670,True,44.0733393,-72.2523077,250.10,-13.66
18,976088670,True,44.0733516,-72.2521624,247.91,-10.61
0,976088671,True,44.0722915,-72.2536721,294.71,0.00
1,976088671,True,44.07231402,-72.25358095,293.92,-5.86
2,976088671,True,44.07233655,-72.2534898,293.29,-4.68
3,976088671,True,44.07235908,-72.25339865,292.39,-6.67
4,976088671,True,44.0723816,-72.2533075,291.47,-6.81
5,976088671,True,44.07243173,-72.25319215,289.64,-9.64
6,976088671,True,44.07248185,-72.2530768,287.50,-11.24
7,976088671,True,44.07253198,-72.25296145,284.49,-15.61
8,976088671,True,44.0725821,-72.2528461,281.08,-17.57
9,976088671,True,44.0726394,-72.25270083,275.94,-21.22
10,976088671,True,44.0726967,-72.25255555,270.43,-22.60
11,976088671,True,44.072754,-72.25241027,265.24,-21.40
12,976088671,True,44.0728113,-72.252265,261.40,-16.17
13,976088671,True,44.07286655,-72.25214962,259.13,-11.58
14,976088671,True,44.0729218,-72.25203425,256.76,-12.08
15,976088671,True,44.07297705,-72.25191888,253.99,-14.04
16,976088671,True,44.0730323,-72.2518035,250.97,-15.25
17,976088671,True,44.0730445,-72.2517067,249.63,-9.69
18,976088671,True,44.073061,-72.2515757,247.57,-10.97
0,976088672,True,44.0702368,-72.2550565,348.69,0.00
1,976088672,True,44.07030945,-72.25501305,348.81,0.78
2,976088672,True,44.0703821,-72.2549696,348.46,-2.28
3,976088672,True,44.07045475,-72.25492615,347.27,-7.71
4,976088672,True,44.0705274,-72.2548827,345.96,-8.47
5,976088672,True,44.07060005,-72.2548592,344.54,-9.72
6,976088672,True,44.0706727,-72.2548357,343.36,-8.10
7,976088672,True,44.07074535,-72.2548122,341.97,-9.51
8,976088672,True,44.070818,-72.2547887,340.39,-10.79
9,976088672,True,44.07091143,-72.25475235,338.31,-10.91
10,976088672,True,44.07100485,-72.254716,336.36,-10.25
11,976088672,True,44.07109827,-72.25467965,334.22,-11.22
12,976088672,True,44.0711917,-72.2546433,331.64,-13.45
13,976088672,True,44.071301,-72.2546007,328.73,-12.98
14,976088672,True,44.0713849,-72.2544953,325.27,-15.39
15,976088672,True,44.0714688,-72.2543899,321.08,-18.44
16,976088672,True,44.07158135,-72.2543187,316.99,-16.57
17,976088672,True,44.0716939,-72.2542475,313.14,-15.65
18,976088672,True,44.07177065,-72.2541891,310.48,-15.30
19,976088672,True,44.0718474,-72.2541307,307.69,-16.01
20,976088672,True,44.07192415,-72.2540723,305.05,-15.19
21,976088672,True,44.0720009,-72.2540139,302.57,-14.30
22,976088672,True,44.07207355,-72.25392845,299.80,-14.68
23,976088672,True,44.0721462,-72.253843,297.55,-12.01
