,trail_id,for_display,lat,lon,elevation,slope
0,94442148,True,39.75034,-77.940746,543.33,0.00
1,94442148,True,39.7502678,-77.94072965,542.82,-3.56
2,94442148,True,39.7501956,-77.9407133,542.28,-3.84
3,94442148,True,39.7501234,-77.94069695,541.72,-3.90
4,94442148,True,39.7500512,-77.9406806,540.97,-5.24
5,94442148,True,39.7499327,-77.9406639,539.27,-7.35
6,94442148,True,39.7498142,-77.9406472,537.31,-8.40
7,94442148,True,39.7497427,-77.94064305,536.13,-8.41
8,94442148,True,39.7496712,-77.9406389,534.95,-8.42
9,94442148,True,39.7495997,-77.94063475,533.71,-8.86
10,94442148,True,39.7495282,-77.9406306,532.49,-8.75
11,94442148,True,39.74943443,-77.9406387,531.08,-7.67
12,94442148,True,39.74934065,-77.9406468,529.71,-7.46
13,94442148,True,39.74924687,-77.9406549,528.36,-7.35
14,94442148,True,39.7491531,-77.940663,527.00,-7.42
15,94442148,True,39.74908915,-77.94069185,526.51,-3.74
16,94442148,True,39.7490252,-77.9407207,526.09,-3.19
17,94442148,True,39.74896125,-77.94074955,525.40,-5.27
18,94442148,True,39.7488973,-77.9407784,524.67,-5.55
19,94442148,True,39.74883335,-77.94080725,524.03,-4.83
20,94442148,True,39.7487694,-77.9408361,523.08,-7.20
21,94442148,True,39.74870545,-77.94086495,522.03,-7.94
22,94442148,True,39.7486415,-77.9408938,521.21,-6.22
23,94442148,True,39.7485207,-77.9409349,519.73,-6.07
24,94442148,True,39.7484267,-77.94094905,518.53,-6.52
25,94442148,True,39.7483327,-77.9409632,517.44,-5.89
26,94442148,True,39.74824535,-77.94096803,516.24,-7.03
27,94442148,True,39.748158,-77.94097285,514.86,-8.08
28,94442148,True,39.74807065,-77.94097767,513.41,-8.54
29,94442148,True,39.7479833,-77.9409825,512.12,-7.56
30,94442148,True,39.74790712,-77.9409727,510.91,-8.09
31,94442148,True,39.74783095,-77.9409629,509.76,-7.67
32,94442148,True,39.74775478,-77.9409531,508.72,-6.94
33,94442148,True,39.7476786,-77.9409433,507.83,-6.00
34,94442148,True,39.7475999,-77.94092461,506.84,-6.34
35,94442148,True,39.7475212,-77.94090593,505.79,-6.73
36,94442148,True,39.7474425,-77.94088724,504.62,-7.50
37,94442148,True,39.7473638,-77.94086855,503.41,-7.75
38,94442148,True,39.7472851,-77.94084986,502.00,-9.02
39,94442148,True,39.7472064,-77.94083117,500.40,-10.15
40,94442148,True,39.7471277,-77.94081249,498.76,-10.46
41,94442148,True,39.747049,-77.9407938,497.01,-11.14
0,94442156,True,39.7505252,-77.9405685,543.31,0.00
1,94442156,True,39.75058305,-77.9404847,543.04,-1.63
2,94442156,True,39.7506409,-77.9404009,542.55,-2.91
3,94442156,True,39.75066917,-77.94025867,541.56,-4.47
4,94442156,True,39.75069745,-77.94011645,540.31,-5.69
5,94442156,True,39.75072573,-77.93997423,539.03,-5.82
6,94442156,True,39.750754,-77.939832,537.63,-6.37
7,94442156,True,39.75074862,-77.93967395,535.33,-9.67
8,94442156,True,39.75074325,-77.9395159,532.52,-11.74
9,94442156,True,39.75073787,-77.93935785,529.52,-12.51
10,94442156,True,39.7507325,-77.9391998,526.03,-14.46
11,94442156,True,39.75070827,-77.93910724,523.28,-18.22
12,94442156,True,39.75068405,-77.93901468,520.52,-18.27
13,94442156,True,39.75065982,-77.93892211,517.71,-18.57
14,94442156,True,39.7506356,-77.93882955,514.73,-19.59
15,94442156,True,39.75061137,-77.93873699,511.82,-19.20
16,94442156,True,39.75058715,-77.93864443,509.04,-18.42
17,94442156,True,39.75056292,-77.93855186,506.41,-17.47
18,94442156,True,39.7505387,-77.9384593,504.01,-15.98
19,94442156,True,39.75050307,-77.93837927,501.79,-15.73
20,94442156,True,39.75046745,-77.93829924,499.67,-14.97
21,94442156,True,39.75043182,-77.93821921,497.57,-14.86
22,94442156,True,39.7503962,-77.93813918,495.48,-14.84
23,94442156,True,39.75036058,-77.93805914,493.28,-15.54
24,94442156,True,39.75032495,-77.93797911,491.05,-15.75
25,94442156,True,39.75028932,-77.93789908,489.11,-13.83
26,94442156,True,39.7502537,-77.93781905,487.37,-12.36
27,94442156,True,39.75021807,-77.93773902,485.80,-11.24
28,94442156,True,39.75018245,-77.93765899,483.94,-13.25
29,94442156,True,39.75014683,-77.93757896,481.69,-15.86
30,94442156,True,39.7501112,-77.93749892,479.28,-17.00
31,94442156,True,39.75007557,-77.93741889,477.07,-15.59
32,94442156,True,39.75003995,-77.93733886,475.19,-13.37
33,94442156,True,39.75000432,-77.93725883,473.47,-12.26
34,94442156,True,39.7499687,-77.9371788,471.70,-12.63
35,94442156,True,39.74990534,-77.93710648,469.28,-14.51
36,94442156,True,39.74984197,-77.93703415,466.79,-14.86
37,94442156,True,39.74977861,-77.93696182,464.18,-15.54
38,94442156,True,39.74971525,-77.9368895,461.27,-17.25
39,94442156,True,39.74965189,-77.93681718,458.13,-18.51
40,94442156,True,39.74958852,-77.93674485,454.85,-19.30
41,94442156,True,39.74952516,-77.93667253,451.52,-19.57
42,94442156,True,39.7494618,-77.9366002,448.13,-19.86
43,94442156,True,39.74941715,-77.9365102,445.12,-18.19
44,94442156,True,39.7493725,-77.9364202,442.19,-17.73
45,94442156,True,39.74932785,-77.9363302,439.30,-17.54
46,94442156,True,39.7492832,-77.9362402,436.29,-18.22
47,94442156,True,39.74923855,-77.9361502,433.29,-18.10
48,94442156,True,39.7491939,-77.9360602,430.28,-18.20
49,94442156,True,39.74914925,-77.9359702,427.28,-18.16
50,94442156,True,39.7491046,-77.9358802,424.51,-16.85
51,94442156,True,39.74905995,-77.9357902,421.57,-17.81
52,94442156,True,39.7490153,-77.9357002,418.49,-18.57
53,94442156,True,39.74897065,-77.9356102,415.32,-19.08
54,94442156,True,39.748926,-77.9355202,411.97,-20.12
55,94442156,True,39.74888135,-77.9354302,408.67,-19.81
56,94442156,True,39.7488367,-77.9353402,405.52,-19.00
57,94442156,True,39.74879205,-77.9352502,402.30,-19.37
58,94442156,True,39.7487474,-77.9351602,398.91,-20.29
59,94442156,True,39.74868014,-77.93511415,395.10,-24.26
60,94442156,True,39.74861287,-77.9350681,391.20,-24.79
61,94442156,True,39.74854561,-77.93502205,387.29,-24.81
62,94442156,True,39.74847835,-77.934976,383.40,-24.72
63,94442156,True,39.74841109,-77.93492995,379.54,-24.54
64,94442156,True,39.74834382,-77.9348839,375.73,-24.27
65,94442156,True,39.74827656,-77.93483785,372.15,-22.97
66,94442156,True,39.7482093,-77.9347918,368.80,-21.60
67,94442156,True,39.74813656,-77.93477699,365.80,-20.10
68,94442156,True,39.74806383,-77.93476218,362.80,-20.17
